point_id,ctau_mm,total_width_GeV,g_hH2H2_GeV,GHphiphi_GeV,BR_H2_to_bb,sigma_production_pb,sigma_production_error_pb,Trackless_Aeff,Trackless_Aeff_error,sigma_4b_fb,visible_sigma_fb,N_expected_139fb,N_expected_error,observed_S95,N_over_observed_S95,above_observed_S95,interpretation,production_status,efficiency_status
eff_ctau1_g63p591_br0p5,1,1.9732698040000000e-13,63.59142520075966,-63.59142520075966,0.5,2.3029116756800001e-04,0.0000000000000000e+00,0.003951574,0.00124959741827022,5.7572791892000000e-02,2.2750314754783801e-04,3.1622937509149483e-02,1.0000050883408407e-02,3.0,1.0540979169716495e-02,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau1_g63p591_br0p7567,1,1.9732698040000000e-13,63.59142520075966,-63.59142520075966,0.7567374858085787,2.3029116756800001e-04,0.0000000000000000e+00,0.003951574,0.00124959741827022,1.3187661073862800e-01,5.2112018620288322e-04,7.2435705882200774e-02,2.2906181450981070e-02,3.0,2.4145235294066925e-02,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau1_g63p591_br1,1,1.9732698040000000e-13,63.59142520075966,-63.59142520075966,1,2.3029116756800001e-04,0.0000000000000000e+00,0.003951574,0.00124959741827022,2.3029116756800000e-01,9.1001259019135204e-04,1.2649175003659793e-01,4.0000203533633628e-02,3.0,4.2163916678865980e-02,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau3_g63p591_br0p1,3,6.5775660133333331e-14,63.59142520075966,-63.59142520075966,0.1,2.3029116756800001e-04,0.0000000000000000e+00,0.013341595,0.002255141155822941,2.3029116756800006e-03,3.0724514897693919e-05,4.2707075707794544e-03,7.2188133482910873e-04,3.0,1.4235691902598181e-03,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau3_g63p591_br0p25,3,6.5775660133333331e-14,63.59142520075966,-63.59142520075966,0.25,2.3029116756800001e-04,0.0000000000000000e+00,0.013341595,0.002255141155822941,1.4393197973000000e-02,1.9202821811058692e-04,2.6691922317371584e-02,4.5117583426819282e-03,3.0,8.8973074391238607e-03,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau3_g63p591_br0p5,3,6.5775660133333331e-14,63.59142520075966,-63.59142520075966,0.5,2.3029116756800001e-04,0.0000000000000000e+00,0.013341595,0.002255141155822941,5.7572791892000000e-02,7.6811287244234769e-04,1.0676768926948633e-01,1.8047033370727713e-02,3.0,3.5589229756495443e-02,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau3_g63p591_br0p7567,3,6.5775660133333331e-14,63.59142520075966,-63.59142520075966,0.7567374858085787,2.3029116756800001e-04,0.0000000000000000e+00,0.013341595,0.002255141155822941,1.3187661073862800e-01,1.7594443304474255e-03,2.4456276193219215e-01,4.1338651759029899e-02,3.0,8.1520920644064049e-02,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau3_g63p591_br1,3,6.5775660133333331e-14,63.59142520075966,-63.59142520075966,1,2.3029116756800001e-04,0.0000000000000000e+00,0.013341595,0.002255141155822941,2.3029116756800000e-01,3.0724514897693908e-03,4.2707075707794534e-01,7.2188133482910852e-02,3.0,1.4235691902598177e-01,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau4p326_g63p591_br0p1,4.326221529733112,4.5611852986218501e-14,63.59142520075966,-63.59142520075966,0.1,2.3029116756800001e-04,0.0000000000000000e+00,0.01573386,0.002487741699310843,2.3029116756800006e-03,3.6233689897514534e-05,5.0364828957545201e-03,7.9633786735323355e-04,3.0,1.6788276319181733e-03,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau4p326_g63p591_br0p25,4.326221529733112,4.5611852986218501e-14,63.59142520075966,-63.59142520075966,0.25,2.3029116756800001e-04,0.0000000000000000e+00,0.01573386,0.002487741699310843,1.4393197973000000e-02,2.2646056185946577e-04,3.1478018098465739e-02,4.9771116709577080e-03,3.0,1.0492672699488580e-02,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
