point_id,ctau_mm,total_width_GeV,g_hH2H2_GeV,GHphiphi_GeV,BR_H2_to_bb,sigma_production_pb,sigma_production_error_pb,Trackless_Aeff,Trackless_Aeff_error,sigma_4b_fb,visible_sigma_fb,N_expected_139fb,N_expected_error,observed_S95,N_over_observed_S95,above_observed_S95,interpretation,production_status,efficiency_status,production_evaluation_mode
eff_ctau200_g40_br0p1,200,9.8663490199999997e-16,40,-40,0.1,9.1290000000000002e-05,2.2249999999999999e-07,0.009507182499999999,0.001503217541544688,9.1290000000000013e-04,8.6791069042500002e-06,1.2063958596907501e-03,1.9074793382098428e-04,3.0,4.0213195323025001e-04,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau200_g40_br0p25,200,9.8663490199999997e-16,40,-40,0.25,9.1290000000000002e-05,2.2249999999999999e-07,0.009507182499999999,0.001503217541544688,5.7056249999999998e-03,5.4244418151562493e-05,7.5399741230671863e-03,1.1921745863811516e-03,3.0,2.5133247076890622e-03,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau200_g40_br0p5,200,9.8663490199999997e-16,40,-40,0.5,9.1290000000000002e-05,2.2249999999999999e-07,0.009507182499999999,0.001503217541544688,2.2822499999999999e-02,2.1697767260624997e-04,3.0159896492268745e-02,4.7686983455246064e-03,3.0,1.0053298830756249e-02,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau200_g40_br0p7567,200,9.8663490199999997e-16,40,-40,0.7567374858085787,9.1290000000000002e-05,2.2249999999999999e-07,0.009507182499999999,0.001503217541544688,5.2277366611441965e-02,4.9701046499438532e-04,6.9084454634219555e-02,1.0923211377735418e-02,3.0,2.3028151544739851e-02,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau200_g40_br1,200,9.8663490199999997e-16,40,-40,1,9.1290000000000002e-05,2.2249999999999999e-07,0.009507182499999999,0.001503217541544688,9.1289999999999996e-02,8.6791069042499989e-04,1.2063958596907498e-01,1.9074793382098425e-02,3.0,4.0213195323024996e-02,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau300_g40_br0p1,300,6.5775660133333338e-16,40,-40,0.1,9.1290000000000002e-05,2.2249999999999999e-07,0.006872078500000001,0.001161593276620673,9.1290000000000013e-04,6.2735204626500013e-06,8.7201934430835020e-04,1.4739817180955476e-04,3.0,2.9067311476945005e-04,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau300_g40_br0p25,300,6.5775660133333338e-16,40,-40,0.25,9.1290000000000002e-05,2.2249999999999999e-07,0.006872078500000001,0.001161593276620673,5.7056249999999998e-03,3.9209502891562503e-05,5.4501209019271876e-03,9.2123857380971698e-04,3.0,1.8167069673090625e-03,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau300_g40_br0p5,300,6.5775660133333338e-16,40,-40,0.5,9.1290000000000002e-05,2.2249999999999999e-07,0.006872078500000001,0.001161593276620673,2.2822499999999999e-02,1.5683801156625001e-04,2.1800483607708750e-02,3.6849542952388679e-03,3.0,7.2668278692362498e-03,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau300_g40_br0p7567,300,6.5775660133333338e-16,40,-40,0.7567374858085787,9.1290000000000002e-05,2.2249999999999999e-07,0.006872078500000001,0.001161593276620673,5.2277366611441965e-02,3.5925416712710820e-04,4.9936329230668042e-02,8.4407802229646209e-03,3.0,1.6645443076889348e-02,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau300_g40_br1,300,6.5775660133333338e-16,40,-40,1,9.1290000000000002e-05,2.2249999999999999e-07,0.006872078500000001,0.001161593276620673,9.1289999999999996e-02,6.2735204626500004e-04,8.7201934430835001e-02,1.4739817180955472e-02,3.0,2.9067311476944999e-02,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
